#time[s] 	 x_1[m] 	 u[V] 	 xhat_1[m] 	 xhat_2[m/s] 	 diff[m/s]
0.00 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000
0.01 	0.000000 	6.830000 	0.000000 	0.000000 	0.000000
0.02 	0.000225 	7.076224 	0.000000 	0.249981 	0.022501
0.03 	0.002700 	7.254620 	0.002492 	0.500211 	0.247516
0.04 	0.008101 	7.362159 	0.007486 	0.747926 	0.540035
0.05 	0.012826 	7.397949 	0.014943 	0.991099 	0.472530
0.06 	0.018676 	7.354223 	0.024931 	1.223724 	0.585037
0.07 	0.025652 	7.228424 	0.037393 	1.441682 	0.697545
0.08 	0.033527 	7.019288 	0.052234 	1.640973 	0.787550
0.09 	0.040278 	6.726475 	0.069318 	1.817552 	0.675043
0.10 	0.049053 	6.346912 	0.088540 	1.965367 	0.877556
0.11 	0.056929 	5.886115 	0.109617 	2.082153 	0.787550
0.12 	0.065479 	5.344955 	0.132338 	2.162944 	0.855055
0.13 	0.074255 	4.729616 	0.156378 	2.205002 	0.877556
0.14 	0.082805 	4.047087 	0.181388 	2.205773 	0.855055
0.15 	0.091356 	3.305184 	0.207000 	2.162936 	0.855055
0.16 	0.099906 	2.513968 	0.232798 	2.075212 	0.855055
0.17 	0.108907 	1.685128 	0.258341 	1.942205 	0.900058
0.18 	0.118358 	0.832768 	0.283150 	1.764967 	0.945060
0.19 	0.128033 	-0.027821 	0.306741 	1.545571 	0.967562
0.20 	0.135909 	-0.880893 	0.328639 	1.286868 	0.787550
0.21 	0.146034 	-1.714266 	0.348456 	0.990429 	1.012565
0.22 	0.153010 	-2.506493 	0.365657 	0.663231 	0.697545
0.23 	0.157060 	-3.247718 	0.379956 	0.307285 	0.405026
0.24 	0.158635 	-3.927272 	0.391064 	-0.074530 	0.157510
0.25 	0.157060 	-4.533445 	0.398698 	-0.478217 	-0.157510
0.26 	0.153685 	-5.056160 	0.402626 	-0.899933 	-0.337522
0.27 	0.150085 	-5.482845 	0.402601 	-1.333823 	-0.360023
0.28 	0.144234 	-5.798458 	0.398366 	-1.771717 	-0.585037
0.29 	0.137934 	-5.993647 	0.389811 	-2.207193 	-0.630040
0.30 	0.130733 	-6.056696 	0.376819 	-2.631556 	-0.720046
0.31 	0.122858 	-5.978856 	0.359375 	-3.036375 	-0.787550
0.32 	0.116107 	-5.753156 	0.337537 	-3.412930 	-0.675043
0.33 	0.107332 	-5.371415 	0.311391 	-3.750593 	-0.877556
0.34 	0.099456 	-4.835223 	0.281241 	-4.042476 	-0.787550
0.35 	0.090906 	-4.142860 	0.247370 	-4.279036 	-0.855055
0.36 	0.082355 	-3.299385 	0.210220 	-4.453111 	-0.855055
0.37 	0.073130 	-2.311762 	0.170298 	-4.557718 	-0.922559
0.38 	0.064804 	-1.191844 	0.128224 	-4.587720 	-0.832553
0.39 	0.055804 	0.048510 	0.084633 	-4.537515 	-0.900058
0.40 	0.046353 	1.390645 	0.040297 	-4.404637 	-0.945060
0.41 	0.037352 	2.813327 	-0.003968 	-4.188012 	-0.900058
0.42 	0.030827 	4.294396 	-0.047337 	-3.887282 	-0.652542
0.43 	0.028352 	5.813309 	-0.089028 	-3.501560 	-0.247516
